2026.04.06|LOCAL_HOLIDAY|Easter Monday
2026.05.04|BANK_HOLIDAY|Early May Bank Holiday
2026.05.25|BANK_HOLIDAY|Spring Bank Holiday
2026.08.31|LOCAL_HOLIDAY|Summer Bank Holiday
2026.12.25|BANK_HOLIDAY|Christmas Day
2026.12.26|BANK_HOLIDAY|Boxing Day
2026.12.28|BANK_HOLIDAY|Bank Holiday
2027.01.01|BANK_HOLIDAY|New Year's Day
2027.03.26|BANK_HOLIDAY|Good Friday
2027.03.29|LOCAL_HOLIDAY|Easter Monday
2027.05.03|BANK_HOLIDAY|Early May Bank Holiday
2027.05.31|BANK_HOLIDAY|Spring Bank Holiday
2027.08.30|LOCAL_HOLIDAY|Summer Bank Holiday
2027.12.25|BANK_HOLIDAY|Christmas Day
2027.12.26|BANK_HOLIDAY|Boxing Day
2027.12.27|BANK_HOLIDAY|Bank Holiday
2027.12.28|BANK_HOLIDAY|Bank Holiday
2028.01.01|BANK_HOLIDAY|New Year's Day
2028.01.03|BANK_HOLIDAY|"New Year's Day" observed
2028.04.14|BANK_HOLIDAY|Good Friday
2028.04.17|LOCAL_HOLIDAY|Easter Monday
2028.05.01|BANK_HOLIDAY|Early May Bank Holiday
2028.05.29|BANK_HOLIDAY|Spring Bank Holiday
2028.08.28|LOCAL_HOLIDAY|Summer Bank Holiday
2028.12.25|BANK_HOLIDAY|Christmas Day
2028.12.26|BANK_HOLIDAY|Boxing Day
2029.01.01|BANK_HOLIDAY|New Year's Day
2029.03.30|BANK_HOLIDAY|Good Friday
2029.04.02|LOCAL_HOLIDAY|Easter Monday
2029.05.07|BANK_HOLIDAY|Early May Bank Holiday
2029.05.28|BANK_HOLIDAY|Spring Bank Holiday
2029.08.27|LOCAL_HOLIDAY|Summer Bank Holiday
2029.12.25|BANK_HOLIDAY|Christmas Day
2029.12.26|BANK_HOLIDAY|Boxing Day
2030.01.01|BANK_HOLIDAY|New Year's Day
2030.04.19|BANK_HOLIDAY|Good Friday
2030.04.22|LOCAL_HOLIDAY|Easter Monday
2030.05.06|BANK_HOLIDAY|Early May Bank Holiday
2030.05.27|BANK_HOLIDAY|Spring Bank Holiday
2030.08.26|LOCAL_HOLIDAY|Summer Bank Holiday
2030.12.25|BANK_HOLIDAY|Christmas Day
2030.12.26|BANK_HOLIDAY|Boxing Day
